"0C","NUTS_3"
"01","FR711"
"02","FR221"
"03","FR721"
"04","FR821"
"05","FR822"
"06","FR823"
"07","FR712"
"08","FR211"
"09","FR621"
"10","FR212"
"11","FR811"
"12","FR622"
"13","FR824"
"14","FR251"
"15","FR722"
"16","FR531"
"17","FR532"
"18","FR241"
"19","FR631"
"20","FR831"
"20","FR832"
"21","FR261"
"22","FR521"
"23","FR632"
"24","FR611"
"25","FR431"
"26","FR713"
"27","FR231"
"28","FR242"
"29","FR522"
"30","FR812"
"31","FR623"
"32","FR624"
"33","FR612"
"34","FR813"
"35","FR523"
"36","FR243"
"37","FR244"
"38","FR714"
"39","FR432"
"40","FR613"
"41","FR245"
"42","FR715"
"43","FR723"
"44","FR511"
"45","FR246"
"46","FR625"
"47","FR614"
"48","FR814"
"49","FR512"
"50","FR252"
"51","FR213"
"52","FR214"
"53","FR513"
"54","FR411"
"55","FR412"
"56","FR524"
"57","FR413"
"58","FR262"
"59","FR301"
"60","FR222"
"61","FR253"
"62","FR302"
"63","FR724"
"64","FR615"
"65","FR626"
"66","FR815"
"67","FR421"
"68","FR422"
"69","FR716"
"70","FR433"
"71","FR263"
"72","FR514"
"73","FR717"
"74","FR718"
"75","FR101"
"76","FR232"
"77","FR102"
"78","FR103"
"79","FR533"
"80","FR223"
"80","FR232"
"81","FR627"
"82","FR628"
"83","FR825"
"84","FR826"
"85","FR515"
"86","FR534"
"87","FR633"
"88","FR414"
"89","FR264"
"90","FR434"
"91","FR104"
"92","FR105"
"93","FR106"
"94","FR107"
"94","FR104"
"95","FR108"
"95","FR106"
"97","FRA10"
"97","FRA30"
"98","FRA10"
"01","FR432"
"65","FR615"
"42","FR721"
"05","FR821"
